,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
3845,44971,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Analog Chronograph Watch,44971.jpg
4493,9407,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Nike Men Court White Shoe,9407.jpg
3578,21985,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,21985.jpg
1969,11119,Men,Apparel,Topwear,Shirts,White,Fall,2011,Formal,Indigo Nation Men Solid White Shirts,11119.jpg
3172,26508,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2013,Casual,Arrow Sport Men Brown Trousers,26508.jpg
4152,9008,Women,Accessories,Bags,Handbags,Multi,Winter,2015,Casual,Murcia Women Checked Purse Multi Handbags,9008.jpg
2312,28253,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017,Casual,Wild stone Men Smoke Deo,28253.jpg
3585,17883,Men,Apparel,Innerwear,Innerwear Vests,Navy Blue,Summer,2016,Casual,Levis Men Comfort Style Navy Blue Innerwear Vest,17883.jpg
2266,20491,Women,Accessories,Bags,Handbags,Maroon,Winter,2015,Casual,Baggit Women Knotty Taj Maroon Handbag,20491.jpg
4290,26552,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,ID Men Black Shoes,26552.jpg
683,15510,Men,Footwear,Shoes,Casual Shoes,Charcoal,Fall,2011,Casual,Rockport Men CV Toe HI Charcoal Casual Shoes,15510.jpg
1088,41098,Women,Apparel,Topwear,Tops,Cream,Summer,2012,Casual,Allen Solly Woman Cream Top,41098.jpg
2599,57702,Women,Personal Care,Skin,Face Moisturisers,White,Spring,2017,,Lotus Herbals Almond Anti-Wrinkle Creme,57702.jpg
898,10292,Women,Footwear,Shoes,Heels,Brown,Summer,2015,Casual,Clarks Women Brown Leather Heels,10292.jpg
3365,49238,Men,Accessories,Headwear,Caps,Black,Fall,2012,Casual,Arrow Men Black Cap,49238.jpg
2007,52428,Women,Apparel,Loungewear and Nightwear,Nightdress,Peach,Winter,2015,Casual,Red Rose Women Peach Nightdress,52428.jpg
3043,9802,Women,Apparel,Topwear,Tops,Navy Blue,Fall,2011,Casual,Scullers For Her Women Scullers Top Navy Blue Tops,9802.jpg
3869,14857,Women,Accessories,Wallets,Wallets,Olive,Summer,2011,Casual,United Colors of Benetton Women Solid Olive Wallets,14857.jpg
4410,46018,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Fabindia Women Green Kurta,46018.jpg
352,53598,Men,Free Items,Free Gifts,Free Gifts,Black,Winter,2016,Sports,Q&Q Men Black Digital Watch,53598.jpg
4919,25782,Men,Apparel,Topwear,Suspenders,Black,Summer,2012,Formal,Arrow Men Black & White Suspenders,25782.jpg
4621,26793,Men,Apparel,Topwear,Shirts,Lavender,Summer,2013,Formal,Arrow Men Lavender Shirt,26793.jpg
1371,11511,Women,Footwear,Shoes,Flats,Gold,Winter,2015,Casual,Catwalk Women Lifestyle Gold Toned Ballerinas,11511.jpg
3546,40946,Girls,Apparel,Topwear,Tops,Navy Blue,Summer,2012,Casual,Gini and Jony Girls Nautical Blues Navy Blue Top,40946.jpg
106,8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015,Casual,Crocs Kids Navy Blue Clogs,8746.jpg
155,24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012,Casual,Numero Uno Men White Casual Shoes,24250.jpg
4994,25544,Women,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,Wrangler Women Sunrise Navy Blue T-shirt,25544.jpg
3387,33475,Women,Accessories,Belts,Belts,Brown,Summer,2012,Casual,Baggit Women Capture Jassy Brown Belt,33475.jpg
3604,11946,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Ganuchi Men Casual Brown Sandals,11946.jpg
2168,49069,Women,Accessories,Bags,Handbags,Pink,Summer,2012,Casual,Lino Perros Women Pink Handbag,49069.jpg
1121,40982,Boys,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Gini and Jony Boys Core White T-shirt,40982.jpg
718,49662,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016,Casual,United Colors of Benetton Women Sunglass,49662.jpg
4464,40129,Boys,Apparel,Topwear,Shirts,Navy Blue,Summer,2012,Casual,Gini and Jony BoysCore Navy Blue Shirt,40129.jpg
3064,12537,Men,Apparel,Bottomwear,Track Pants,Grey,Fall,2011,Casual,Puma Men Solid Grey Track Pants,12537.jpg
4151,40142,Boys,Apparel,Topwear,Tshirts,Green,Summer,2012,Casual,Gini and Jony Boys Core Green T-shirt,40142.jpg
785,14893,Women,Accessories,Accessories,Travel Accessory,Blue,Summer,2011,Casual,United Colors of Benetton Women Solid Blue Bags,14893.jpg
4276,32360,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Q&Q Men Black Dial Watch,32360.jpg
3686,15511,Women,Footwear,Shoes,Heels,Pink,Fall,2011,Casual,Rockport Women Jeanie Thong Chain Pink Flats,15511.jpg
79,8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals,8574.jpg
205,12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Men Sports Black Sports Shoes,12958.jpg
575,13045,Women,Footwear,Shoes,Flats,Maroon,Winter,2012,Casual,Inc 5 Women Casual Maroon Sandals,13045.jpg
4819,58317,Men,Accessories,Socks,Socks,White,Summer,2016,Sports,Jockey LCESCBRA Men White Pack of 3 Socks 2004,58317.jpg
3975,14868,Men,Accessories,Wallets,Wallets,Black,Summer,2011,Casual,United Colors of Benetton Men Solid Black Wallets,14868.jpg
3333,15371,Women,Apparel,Topwear,Sweatshirts,Purple,Fall,2011,Casual,Urban Yoga Women Solid Purple Sweatshirts,15371.jpg
794,18206,Men,Accessories,Headwear,Caps,Black,Fall,2011,Casual,Manchester United Men Solid Black Cap,18206.jpg
2434,21544,Women,Accessories,Bags,Handbags,Blue,Winter,2015,Casual,Kiara Women Small Pocket Blue Handbag,21544.jpg
1586,58916,Men,Accessories,Ties,Ties,Black,Summer,2017,Casual,Hakashi Men Black Silk Tie,58916.jpg
1288,33225,Women,Apparel,Dress,Dresses,Pink,Summer,2012,Casual,Sepia Women Pink Dress,33225.jpg
3501,24269,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Quiksilver Men Grey Printed T-shirt,24269.jpg
3320,30204,Unisex,Accessories,Bags,Handbags,Black,Summer,2012,Casual,Nike Unisex Black Track Tote Bag,30204.jpg
